batch_id,clip_id,rating,seed_type,reason,start_seconds,end_seconds,notes
batch_20260604_010059_525230,2026-06-01 20-08-34__chapter_0001,3,chapter,OBS chapter marker;trim=voice,1124.15,1157.35,
batch_20260604_010059_525230,2026-06-01 20-08-34__chapter_0002,3,chapter,OBS chapter marker;trim=voice,1461.65,1496.55,
batch_20260604_010059_525230,2026-06-01 20-08-34__chapter_0003,3,chapter,OBS chapter marker;trim=voice,5513.15,5547.9,
batch_20260604_010059_525230,2026-06-01 20-08-34__chapter_0004,3,chapter,OBS chapter marker,8928.2,8963.2,
batch_20260604_010059_525230,2026-06-01 20-08-34__fallback_0000,4,fallback_discovery,"No chapters found: audio peak + activity (hook=0.93; transcript_discovery;funny=1;clivant=3;etonnant=1;matched=apr,c'est,content,contre)",6079.29,6119.29,
batch_20260604_010059_525230,2026-06-01 20-08-34__fallback_0001,4,fallback_discovery,"No chapters found: audio peak + activity (hook=0.97; transcript_discovery;clivant=3;etonnant=2;matched=bon,c'est,dire,faire)",5795.75,5835.75,
batch_20260604_010059_525230,2026-06-01 20-08-34__fallback_0004,4,fallback_discovery,"No chapters found: audio peak + activity (hook=1.22; transcript_discovery;funny=1;clivant=2;etonnant=1;matched=apr,c'est,content,coup)",6104.39,6144.39,
batch_20260604_010059_525230,2026-06-01 20-08-34__fallback_0005,4,fallback_discovery,"No chapters found: audio peak + activity (hook=1.04; transcript_discovery;clivant=1;etonnant=2;matched=assez,bien,bon,c'est);trim=voice",5770.65,5810.52,
